CodigoCauce,NodoDistribucion,Hectareas,Padrones,Entero
1008,Morales - Villanueva,575.5,947.0,1364.0
1011,Morales - Villanueva,803.3,811.0,1469.0
1012,Chacras de Coria,1192.3,4200.0,4786.0
1106,1ro Vistalba,3295.7,1592.0,4561.0
1114,Lunlunta 1,1059.2,528.0,1470.0
1141,Naciente,471.8,140.0,554.0
1191,Céspedes,367.8,227.0,501.0
1226,Galigniana Segura,533.1,54.0,557.0
1264,Jocolí,88.0,4.0,89.0
1271,Jocolí,1073.8,80.0,1104.0
1275,Jocolí,1898.6,152.0,1981.0
1285,Lunlunta 1,230.0,2.0,230.0
1300,Algarrobal,2894.4,1102.0,3619.0
1812,Arroyo Uspallata,1700.7,618.0,2113.0
1846,Arroyo Las Mulas ,551.8,10.0,560.0
1010,2° Vistalba,1068.5,2044.0,2824.0
1116,Lunlunta 2,967.8,432.0,1256.0
1142,Chachingo,4240.2,2510.0,6018.0
1278,Esteban,1257.1,137.0,1335.0
1299,Algarrobal,2894.4,1102.0,3619.0
1714,Hijuela Sanchez,710.5,192.0,927.0
,,,,